PMID,BHB Target,Model Raw,Model Global,Model Cannonical,Mechanism Raw,Mechanism Cannonical,Organ/tissue Raw,Organ/tissue Cannonical,Cell Type Raw,Cell Type Global,Celly Type Cannonical,Organelle Raw,Organelle Global,Organelle Cannonical,Disease,Disease Category,Disease Outcome Nonstandardized,Disease Outcome Standardized,BHB Source Raw,BHB Source Cannonical,Isomer
4221104,0,mouse; epididymal fat pads,animal; in vitro,Animal – Mouse; Ex vivo – Tissue/Organ explant or slice,"free fatty acid release, up",Metabolic Regulation,epididymal fat pads,Adipose tissue,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",DL-Beta-hydroxybutyrate-3-(14)C,Exogenous BHB (unspecified/free acid),racemic
4327575,0,ammonium chloride-loaded acidotic dogs,animal,Animal – Other Mammal,"transformation of glutamine and glutamate into alpha-ketoglutarate in mitochondria, down",Multiple mechanisms,kidney,Kidney,renal tubular cell,Epithelial – Renal & Urothelial,Renal tubular epithelial,mitochondria,Mitochondria,Unspecified,Acidosis,Metabolic & Endocrine,"renal ammonia production, down","Kidney function, down","sodium salt of D,L-beta-hydroxybutyric acid adjusted to pH 6.0 or 4.2; pure sodium-free beta-hydroxybutyric acid prepared by ion exchange (pH 2.2)",Exogenous BHB (unspecified/free acid),racemic
4347969,0; G6PD; BDH1; ALDOA; FBP1,Azotobacter vinelandii cells,NS,Animal – Invertebrate,"encystment, up","Cell Proliferation, Growth & Differentiation",NS,NS,Azotobacter vinelandii cells,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",NS,NS,NS
478182,0,rabbit tibial nerve fascicle endoneurial preparation; rabbit sciatic nerve epineurial tissue,animal; in vitro,Animal – Other Mammal,"O2 uptake, no-change",Mitochondrial Function & Bioenergetics,endoneurial preparation,Peripheral nerves & ganglia (PNS),axons; Schwann cells,Neural / Glial,Neurons; Schwann cells (PNS),NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",DL-beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),racemic
5435493,0,adult rat brain-cortex slices; infant rat brain-cortex slices,animal; in vitro,Animal – Rat,"oxygen consumption, up",Mitochondrial Function & Bioenergetics,brain-cortex,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",dl-beta-hydroxybutyrate; beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),racemic
5473905,0,Azotobacter vinelandii,in vitro,Animal – Invertebrate,"excretion of membranous components, up",Other / Unspecified,Azotobacter vinelandii cell,NS,encysting cell,Unspecified / Mixed,NS,capsule,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",NS,NS,NS
5541004,BDH1,Azotobacter vinelandii,in vitro,Animal – Invertebrate,"derepression, up",Epigenetic Regulation,Azotobacter vinelandii cell,NS,cyst,Unspecified / Mixed,NS,nucleoid,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
5669905,0,Azotobacter vinelandii,in vitro,Animal – Invertebrate,"encystment, up","Cell Proliferation, Growth & Differentiation",NS,NS,Azotobacter vinelandii,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",NS,NS,NS
5773715,0,infant rat brain cortex slices; adult rat brain cortex slices,animal,Animal – Rat,"adenosine triphosphate concentration, up",Mitochondrial Function & Bioenergetics,brain cortex,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
596438,0,rat (day 20 gestation); placentas; fetal liver; fetal brain,animal; in vitro,Animal – Rat; Ex vivo – Tissue/Organ explant or slice,"oxidation of glucose and lactate, down",Metabolic Regulation,placenta,Placenta/Decidua,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
6048793,0,guinea-pig cerebral cortex slices (starved 48 hr),animal; in vitro,Animal – Other Mammal,"lactate formation, up",Metabolic Regulation,cerebral cortex,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",dl-beta-Hydroxybutyrate (10mm),Exogenous BHB (unspecified/free acid),racemic
6095672,GCG,NS,NS,NS,"glucose production and FFA appearance, down",Multiple mechanisms,NS,NS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",DL-beta-hydroxybutyrate (BOHB) (30 mumol X kg-1 X min-1) infusion,Exogenous BHB (unspecified/free acid),racemic
6130018,SST,normal dog; STZ-diabetic dog,animal; in vitro,Animal – Other Mammal,"somatostatin secretion, up",Hormonal Regulation,pancreas,Pancreas,pancreatic D-cell,Pancreatic Endocrine,δ / PP cells (islet),NS,Unspecified / Generic,NS,Diabetes mellitus,Metabolic & Endocrine,"somatostatin secretion, up","Somatostatin secretion, up",DL-BOH,"1,3-Butanediol (BD)",racemic
6162485,0,rat hepatocytes; kidney cortex slices; rat liver,animal; in vitro,Animal – Rat; Ex vivo – Tissue/Organ explant or slice,"cyclic GMP accumulation, up",Ion & Nutrient Transport,liver,Liver,hepatocytes,Epithelial – Hepatobiliary & Pancreatic Ductal,Hepatocytes,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",NS,NS,NS
616372,GLUD1,acidotic dogs; normal dogs,animal; in vitro,Animal – Other Mammal,"net flux through glutamate dehydrogenase reaction, down",Metabolic Regulation,renal cortex,Kidney,kidney tubules,Epithelial – Renal & Urothelial,Renal tubular epithelial,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",ketone bodies (beta-hydroxybutyrate and acetoacetate),Exogenous BHB (unspecified/free acid),NS
6180645,0; UMPS,fetal rat brain slice; fetal tissues from fed and 48-h starved mothers,animal; in vitro,Multi-model; Ex vivo – Tissue/Organ explant or slice,"de novo pyrimidine biosynthesis, down",Metabolic Regulation,fetal brain,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",DL-beta-hydroxybutyrate (10.8 mM),Exogenous BHB (unspecified/free acid),racemic
6201398,0,adult rat ventricular cardiac muscle cells; freshly isolated cardiac muscle cells; isolated perfused heart,animal; in vitro,Animal – Rat; In vitro – Primary cells; Ex vivo – Tissue/Organ explant or slice,"glucose oxidation, down",Metabolic Regulation,heart,Heart,adult rat ventricular cardiac muscle cells,Muscle – Cardiac,Cardiomyocytes,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",NS,NS,NS
627477,0,dogs,animal,Animal – Other Mammal,"aerobic metabolism, down",Metabolic Regulation,kidney,Kidney,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Unilateral ureteral obstruction,Renal & Urological,"NS, nan","NS, nan",infused,NS,NS
627632,0,rats,animal,Animal – Rat,"substrate oxidation, NS",Metabolic Regulation,brain,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",intravenous infusion,Intravenous BHB,NS
6291991,0,heart mitochondria; liver mitochondria,in vitro,NS,"reduction of NADH, up",Mitochondrial Function & Bioenergetics,heart; liver,Heart; Liver,NS,Unspecified / Mixed,NS,mitochondria,Mitochondria,Unspecified,nan,Other / Unspecified,"NS, nan","NS, nan",beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
6298041,0,six normal postabsorptive volunteers; four additional subjects (NaHCO3),human,Human – Observational/Patient samples; NS,"proteolysis, no-change",Cell Death & Survival,plasma,Blood,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",Na-beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
6309158,0,rat; isolated liver mitochondria,animal; in vitro,Animal – Rat; Ex vivo – Tissue/Organ explant or slice,"hydrogen supply, down",Ion & Nutrient Transport,liver,Liver,NS,Unspecified / Mixed,NS,mitochondria,Mitochondria,Unspecified,nan,Other / Unspecified,"NS, nan","NS, nan",beta-hydroxybutyrate/acetoacetate ratio in the incubation medium,Exogenous BHB (unspecified/free acid),NS
6325283,SHBG; SLC16A3,16-day-old rat Sertoli cells; peritubular cells,animal; in vitro,Animal – Rat; In vitro – Primary cells,"secretion, up",Other / Unspecified,NS,NS,Sertoli cells; peritubular cells,Reproductive – Male; Muscle – Smooth / Perivascular,Sertoli cells; Pericytes,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
6348066,GH1; GCG,10 healthy men,human,Human – Observational/Patient samples,"GH secretion, down",Hormonal Regulation,NS,NS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",intravenous infusion of beta-hydroxybutyrate (OHB),Exogenous BHB (unspecified/free acid),NS
6352723,INS,four infants (3-32 months) with persistent hypoglycemia and hyperinsulinism of neonatal onset,human,Human – Observational/Patient samples,"gluconeogenesis, up",Metabolic Regulation,liver,Liver,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Hypoglycemia; Congenital hyperinsulinism,Metabolic & Endocrine,"plasma glucose, up","Blood glucose, up",sodium DL-beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),racemic
6362095,0,mice,animal,Animal – Mouse,"substrate availability, up",Metabolic Regulation,brain,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Hypoxia,General Signs & Symptoms,"hypoxic survival time, up","Survival, up","1,3-butanediol; beta-hydroxybutyrate administration","1,3-Butanediol (BD); Exogenous BHB (unspecified/free acid)",NS
6389223,0; SLC2A1; INSR,adipocytes,in vitro,In vitro – Primary cells,"post-insulin receptor level, up",Metabolic Regulation,adipocytes,Adipose tissue,adipocytes,Adipose,White adipocytes,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",sodium-DL-beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),racemic
6408343,0,perfused rat liver,animal,Animal – Rat,"pyruvate-acetoacetate exchange, up",Mitochondrial Function & Bioenergetics,liver,Liver,NS,Unspecified / Mixed,NS,mitochondrion,Mitochondria,Unspecified,nan,Other / Unspecified,"NS, nan","NS, nan",NS,NS,NS
6409170,0,rat pups; hypothyroid rat pups (dams fed 0.02% propylthiouracil during pregnancy and lactation),animal; in vitro,Animal – Rat,"substrate availability, down",Metabolic Regulation,brain,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Hypothyroidism,Metabolic & Endocrine,"brain lipid content, down","Lipid profile, down",14C-beta-hydroxybutyrate (BOHB),Exogenous BHB (unspecified/free acid),NS
6420402,0,perfused rat liver,animal,Animal – Rat,"reduction of the mitochondrial NAD(H) redox couple, down",Mitochondrial Function & Bioenergetics,perfused rat liver,Liver,NS,Unspecified / Mixed,NS,mitochondria,Mitochondria,Unspecified,nan,Other / Unspecified,"NS, nan","NS, nan",Infusion of beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
6422588,0,mice; rat brain slice,animal; in vitro,Animal – Mouse; Multi-model,"carbon dioxide production from beta-hydroxybutyrate, up",Metabolic Regulation,brain,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Hypoxia,General Signs & Symptoms,"survival, up","Survival, up",elevated blood ketones,NS,NS
6422589,0,mice; isolated rat brain slices,animal; in vitro,Animal – Mouse; Multi-model,"NS, nan",Other / Unspecified,brain,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Hypoxia,General Signs & Symptoms,"hypoxic tolerance, up","Hypoxic tolerance, up",NS,NS,NS
646243,0,three new cases; one patient studied in detail; eight other patients,human,NS; Human – Observational/Patient samples,"NS, nan",Other / Unspecified,skeletal muscle,Skeletal muscle,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Carnitine palmitoyltransferase deficiency,Metabolic & Endocrine,"mylagias and weakness, down","Muscle weakness, down",beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
6486793,0,fasted rats,animal,Animal – Rat,"regulation at level of various dehydrogenases, NS",Metabolic Regulation,liver,Liver,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",infusion,NS,NS
648743,INSR,IM-9-cultured human lymphocytes,in vitro,In vitro – Immortalized cell line,"counteracting the effects of acidosis, up",Metabolic Regulation,human lymphocytes,Immune system (unspecified lymphoid tissue),IM-9-cultured human lymphocytes,Hematopoietic / Immune,B cells,NS,Unspecified / Generic,NS,Diabetic ketoacidosis,Metabolic & Endocrine,"insulin binding, up","Insulin binding, up",NS,NS,NS
6520790,0,guinea-pig taenia coli,animal,Animal – Other Mammal,"Ca influx, down",Ion & Nutrient Transport,taenia coli,Large intestine/Colon,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",readmitted to the bathing solution,NS,NS
6666615,0,rat aorta; normal rat aorta; diabetic aorta; rats infused with glucose or beta-hydroxybutyrate,animal; in vitro,Animal – Rat; Human – Observational/Patient samples,"beta-hydroxybutyrate oxidation, down",Metabolic Regulation,aorta,Vasculature,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Diabetes mellitus,Metabolic & Endocrine,"glucose oxidation, down","Fat oxidation, down",14C-beta-hydroxybutyrate; beta-hydroxybutyrate infusion,Exogenous BHB (unspecified/free acid),NS
6682922,0,Male Sprague-Dawley rats; ethanol-dependent rats,animal,Animal – Rat,"substrates of the cerebral small-pool Krebs-cycle, NS",Mitochondrial Function & Bioenergetics,cerebral,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Ethanol withdrawal syndrome,Toxicology / Poisoning,"tremulous component, down","Motor function, down","oral administration of a mixture of butyrate, lactate and beta-hydroxybutyrate",Exogenous BHB (unspecified/free acid),NS
6708749,0,3- to 4-day-old rats; minced developing rat lung tissue,animal,Animal – Rat,"lipogenesis via cytoplasmic and citrate pathways, NS",Metabolic Regulation,developing rat lung,Lung,NS,Unspecified / Mixed,NS,cytoplasm,Cytosol,Unspecified,nan,Other / Unspecified,"NS, nan","NS, nan",[3-14C] beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
6729886,0,Sprague-Dawley rats; Levine rat (unilateral carotid ligation and conscious hypoxic exposure),animal,Animal – Rat,"time to isoelectric EEG, up",Other / Unspecified,NS,NS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Ischemic hypoxia,Cerebrovascular / Stroke,"time to isoelectric EEG, up","Seizure activity, up","1,3-Butanediol (BD) (47 mmoles/kg i.v.)","1,3-Butanediol (BD)",NS
6735347,0,freshly isolated Ca2+-tolerant heart myocytes; myocytes isolated from chronically diabetic rats,animal; in vitro,In vitro – Primary cells; Animal – Rat,"inhibition of substrate oxidation, down",Metabolic Regulation,heart,Heart,heart myocytes,Muscle – Skeletal,Skeletal myocytes / myotubes,NS,Unspecified / Generic,NS,Diabetes mellitus,Metabolic & Endocrine,"beta OHB oxidation, down","Ketone utilization, down",NS,NS,NS
6736017,0,isolated perfused rat liver,animal,Animal – Rat,"pyruvate decarboxylation, up",Metabolic Regulation,liver,Liver,NS,Unspecified / Mixed,NS,mitochondrial compartment,Mitochondria,Unspecified,nan,Other / Unspecified,"NS, nan","NS, nan",infusion,NS,NS
6775395,0,"mice; fasted mice; alloxan diabetic mice; mice given 1,3-butanediol",animal,Animal – Mouse,"NS, nan",Other / Unspecified,NS,NS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Hypoxia,General Signs & Symptoms,"hypoxic tolerance, no-change; survival time, up (with glucagon)","Hypoxic tolerance, no-change; Survival, up (with glucagon)",IV and IP beta-hydroxybutyrate (BHB),Multi-source,NS
6787629,0,streptozotocin-treated rats,animal,Animal – Rat,"hepatic ketogenesis, up; ketone disposal, down",Metabolic Regulation; Metabolic Regulation,liver,Liver,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Diabetic ketoacidosis,Metabolic & Endocrine,"ketosis, up","Blood ketones (BHB), up",NS,NS,NS
6814255,0,pregnant ewes (110 to 120 days' gestation),animal,Animal – Other Mammal,"placental transfer, up",Ion & Nutrient Transport,placenta,Placenta/Decidua,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"fetal PaO2, down","Oxygenation, down",infused into the uterine arteries,NS,NS
6843358,0,rat fetal brain slices,animal; in vitro,Multi-model,"restraining irreversible decarboxylation, down",Other / Unspecified,fetal brain,Brain/CNS,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Maternal starvation,Reproductive & Pregnancy,"NS, nan","NS, nan",NS,NS,NS
6846575,0,sheep; fed sheep; fasted sheep; fasted-infected sheep,animal,Animal – Other Mammal,"ketonemia, up",Metabolic Regulation,blood,Blood,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Sepsis,Infectious,"glucose production, no-change","Blood glucose, no-change","sodium-DL-beta-hydroxybutyrate (beta-OHB, 20 mumol X kg-1 X min-1)",Exogenous BHB (unspecified/free acid),racemic
